iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABNJ,0,0,0,0
ABW,0,0,0,0
AFG,0,606.27,0,0.09
AGO,15,31777.78,0,2.55
AIA,0,0,0,0
ALA,0,0,0,0
ALB,164,773.66,1.33,2.71
AND,0,26.31,0,5.67
ARE,2255,10470.98,4.38,14.62
ARG,30536,67866.98,2.85,2.44
ARM,0,3510.87,0,11.82
ASM,0,0,0,0
ATA,0,0,0,0
ATF,1654955,7581.29,72.96,99.42
ATG,50,56.7,0.04,13.5
AUS,380008,300457.96,5.17,3.91
AUT,0,543.52,0,0.65
AZE,63,2968.8,0.08,3.45
BDI,0,1412.63,0,5.26
BEL,30,3848.24,0.85,12.56
BEN,196,30358.53,0.55,26.3
BES,0,0,0,0
BFA,0,10217.6,0,3.74
BGD,898,831.06,0.8,0.6
BGR,6,4773.79,0.02,4.3
BHR,0,0,0,0
BHS,3833,3809.21,0.62,30.55
BIH,0,1208.13,0,2.36
BLM,0,0,0,0
BLR,0,5087.45,0,2.45
BLZ,3995,7895.73,12.13,35.77
BMU,0,0,0,0
BOL,0,186270.65,0,17.18
BRA,962685,1756554.18,26.16,20.74
BRB,0,0,0,0
BRN,0,0,0,0
BTN,0,15963.78,0,41.26
BVT,0,0,0,0
BWA,0,114018.94,0,19.72
CAF,0,35483.68,0,5.73
CAN,9313,350253.76,0.16,3.51
CCK,0,0,0,0
CHE,0,3603.36,0,8.73
CHL,548,45632.8,0.01,6.07
CHN,2589,252020.52,0.27,2.69
CIV,1,18505.1,0,5.77
CMR,1736,39172.59,11.43,8.43
COD,66,170770.27,0.5,7.33
COG,4278,35894.23,12.67,10.48
COK,1969115,1.93,99.98,0.8
COL,297275,176690.77,40.83,15.54
COM,553,524.25,0.34,31.71
CPV,3,127.51,0,3.13
CRI,164437,11990.6,28.26,23.51
CUB,5752,9002.53,1.63,8.21
CUW,0,0,0,0
CXR,0,0,0,0
CYM,0,0,0,0
CYP,0,1163.36,0,12.92
CZE,0,8258.88,0,10.47
DEU,8219,2142.9,14.53,0.6
DJI,0,0,0,0
DMA,0,67,0,8.92
DNK,5028,2314.13,4.82,5.34
DOM,34939,7105.65,9.96,14.75
DZA,0,75903.61,0,3.29
ECU,146607,48846.16,13.6,19.08
EGY,11663,75859.21,4.8,7.72
ERI,0,0,0,0
ESH,0,0,0,0
ESP,648,12881.91,0.06,2.55
EST,1572,3334.9,4.32,7.34
ETH,0,35362.48,0,3.13
FIN,2976,27777.25,3.69,8.23
FJI,132,11.48,0.01,0.06
FLK,0,0,0,0
FRA,95,5297.92,0.03,0.96
FRO,0,0,0,0
FSM,0,0,0,0
GAB,1439,44703.97,0.72,17.05
GBR,56011,24834.17,7.7,10.13
GEO,156,5828.82,0.68,8.37
GGY,0,0,0,0
GHA,16,8662.05,0.01,3.63
GIB,0,0,0,0
GIN,540,28466.85,0.53,11.64
GLP,0,0,0,0
GMB,82,584.42,0.36,5.55
GNB,2247,6089.54,2.1,18.32
GNQ,90,3621.62,0.03,13.47
GRC,530,1732.17,0.11,1.31
GRD,29,10.58,0.11,2.99
GRL,670,5971.67,0.03,0.28
GTM,966,11590.05,0.88,10.65
GUF,0,20242.87,0,24.27
GUM,0,0,0,0
GUY,66,17792.6,0.05,8.43
HKG,0,0,0,0
HMD,6089,363.8,1.46,100
HND,8607,18664.06,4.13,16.69
HRV,396,4695.38,0.72,8.3
HTI,66,322.28,0.06,1.2
HUN,0,761.25,0,0.82
IDN,6781,141225.38,0.11,7.49
IMN,0,0,0,0
IND,2148,129894.35,0.09,4.37
IRL,90,112.35,0.02,0.16
IRN,756,36868.48,0.34,2.27
IRQ,0,3010.93,0,0.69
ISL,267,14767.84,0.03,14.63
ISR,0,0,0,0
ITA,316,4369.26,0.06,1.45
JAM,1868,1577.38,0.73,14.36
JEY,0,0,0,0
JOR,2,1501.98,2.06,1.69
JPN,244,1239.65,0.01,0.33
KAZ,0,37859.83,0,1.39
KEN,425,32455.44,0.34,5.57
KGZ,0,3726.2,0,1.88
KHM,228,33162.32,0.47,18.29
KIR,408367,68.13,11.87,7.29
KNA,0,0,0,0
KOR,3997,5574.47,1.15,5.5
KWT,0,324.69,0,1.86
LAO,0,8394.65,0,3.64
LBN,40,120.56,0.21,1.18
LBR,268,3358.27,0.11,3.51
LBY,0,0,0,0
LCA,16,17.95,0.1,2.97
LIE,0,19.95,0,12.47
LKA,1390,745.7,0.26,1.13
LSO,0,96.26,0,0.31
LTU,343,935.63,5.01,1.44
LUX,0,116.13,0,4.47
LVA,91,688.04,0.32,1.07
MAF,0,0,0,0
MAR,469,3295.06,0.17,0.8
MCO,0,0,0,0
MDA,0,977.56,0,2.89
MDG,8440,50064.46,0.71,8.47
MDV,51,0.06,0.01,0.03
MEX,688515,172038.14,21.61,8.81
MHL,0,0,0,0
MKD,0,2451.17,0,9.64
MLI,0,78761.63,0,6.28
MLT,0,3.07,0,0.97
MMR,1797,11692.12,0.36,1.75
MNE,262,697.73,3.96,5.1
MNG,0,224941.76,0,14.37
MNP,0,0,0,0
MOZ,9281,148251.15,1.64,18.85
