iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABNJ,0,0,0,0
ABW,0,0,0,0
AFG,0,606.27,0,0.09
AGO,15,31777.78,0,2.55
AIA,0,0,0,0
ALA,0,0,0,0
ALB,164,774.04,1.31,2.71
AND,0,26.09,0,5.62
ARE,2255,10470.98,4.38,14.62
ARG,30536,67844.12,2.85,2.44
ARM,0,3510.87,0,11.82
ASM,0,0,0,0
ATA,0,0,0,0
ATF,0,0,0,0
ATG,50,56.7,0.04,13.5
AUS,380026,303212.74,5.17,3.95
AUT,0,543.52,0,0.65
AZE,63,2954.81,0.08,3.44
BDI,0,1412.63,0,5.26
BEL,30,2256.95,0.85,7.37
BEN,0,25813.18,0,22.4
BES,0,0,0,0
BFA,0,10188.13,0,3.73
BGD,898,831.06,0.8,0.6
BGR,6,4772.15,0.02,4.3
BHR,0,0,0,0
BHS,3833,3809.21,0.62,30.55
BIH,0,1193.11,0,2.33
BLM,0,0,0,0
BLR,0,5080.12,0,2.45
BLZ,3995,7895.73,12.13,35.77
BMU,0,0,0,0
BOL,0,186182.06,0,17.18
BRA,957143,1352987.12,25.99,15.98
BRB,0,0,0,0
BRN,0,0,0,0
BTN,0,15963.78,0,41.26
BVT,0,0,0,0
BWA,0,114018.94,0,19.72
CAF,0,35483.69,0,5.73
CAN,8452,310438.86,0.15,3.11
CCK,0,0,0,0
CHE,0,2638.86,0,6.39
CHL,515,45631.27,0.01,6.07
CHN,672,206690.84,0.07,2.21
CIV,1,18491.13,0,5.77
CMR,1736,39172.58,11.43,8.43
COD,66,170735.82,0.5,7.33
COG,4278,35700.29,12.67,10.43
COK,1969115,1.93,99.98,0.8
COL,297275,176648.98,40.82,15.54
COM,553,524.25,0.34,31.71
CPV,3,127.51,0,3.13
CRI,164411,11859.29,28.26,23.21
CUB,5751,8996.37,1.63,8.2
CUW,0,0,0,0
CXR,0,0,0,0
CYM,0,0,0,0
CYP,0,1163.59,0,12.92
CZE,0,8258.99,0,10.47
DEU,8195,2053.71,14.49,0.57
DJI,0,0,0,0
DMA,0,67,0,8.92
DNK,4962,2071.82,4.76,4.78
DOM,34939,7105.65,9.96,14.75
DZA,0,75903.61,0,3.29
ECU,146799,48808.94,13.62,19.07
EGY,11663,75859.21,4.8,7.72
ERI,0,0,0,0
ESH,0,0,0,0
ESP,648,12868.03,0.06,2.54
EST,1572,3334.52,4.32,7.34
ETH,0,35033.66,0,3.1
FIN,2976,27808.09,3.69,8.24
FJI,132,11.48,0.01,0.06
FLK,0,0,0,0
FRA,95,5033.39,0.03,0.92
FRO,0,0,0,0
FSM,0,0,0,0
GAB,1562,44555.47,0.78,17
GBR,3704,22176.03,0.51,9.05
GEO,156,5827.92,0.68,8.37
GGY,0,0,0,0
GHA,226,7572.23,0.1,3.17
GIB,0,0,0,0
GIN,492,22770.32,0.48,9.31
GLP,0,0,0,0
GMB,82,584.42,0.36,5.46
GNB,2247,6089.54,2.1,18.32
GNQ,90,3621.62,0.03,13.47
GRC,530,1732.17,0.11,1.31
GRD,29,10.58,0.11,2.99
GRL,451,5730.08,0.02,0.26
GTM,966,11559.48,0.88,10.62
GUF,0,20243.01,0,24.29
GUM,0,0,0,0
GUY,84,17775.05,0.06,8.44
HKG,0,0,0,0
HMD,6089,363.8,1.46,100
HND,8607,18664.06,4.13,16.69
HRV,396,4695.38,0.72,8.3
HTI,66,322.28,0.06,1.2
HUN,0,761.25,0,0.82
IDN,16759,137053.57,0.28,7.27
IMN,0,0,0,0
IND,691,107720.39,0.03,3.63
IRL,32,81.1,0.01,0.12
IRN,756,12984.88,0.35,0.8
IRQ,0,1373.82,0,0.31
ISL,33,662.23,0,0.66
ISR,0,0,0,0
ITA,316,4332.39,0.06,1.44
JAM,1868,1567.55,0.73,14.27
JEY,0,0,0,0
JOR,2,1501.98,2.06,1.69
JPN,0,0,0,0
KAZ,0,35739.86,0,1.31
KEN,293,32594.09,0.24,5.59
KGZ,0,2542.69,0,1.28
KHM,228,33035.8,0.47,18.24
KIR,408367,68.13,11.87,7.29
KNA,0,0,0,0
KOR,3026,5198.9,0.87,5.13
KWT,0,324.69,0,1.86
LAO,0,8381.56,0,3.64
LBN,40,120.56,0.21,1.18
LBR,268,3358.27,0.11,3.51
LBY,0,0,0,0
LCA,16,17.95,0.1,2.97
LIE,0,19.04,0,11.9
LKA,0,629.72,0,0.96
LSO,0,101.08,0,0.33
LTU,343,933.29,5.01,1.44
LUX,0,116.13,0,4.47
LVA,91,688.04,0.32,1.07
MAF,0,0,0,0
MAR,469,3295.06,0.17,0.8
MCO,0,0,0,0
MDA,0,977.56,0,2.89
MDG,8277,49895.76,0.69,8.45
MDV,0,0,0,0
MEX,688316,171650.7,21.6,8.79
MHL,0,0,0,0
MKD,0,2386.39,0,9.38
MLI,0,78761.63,0,6.28
MLT,0,3.07,0,0.97
MMR,1797,11692.12,0.36,1.75
MNE,269,695.59,4.21,5.09
MNG,0,220307.47,0,14.08
MNP,0,0,0,0
MOZ,9240,148243.49,1.63,18.85
MRT,6394,6273.21,3.69,0.61
MSR,0,0,0,0
