iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABNJ,0,0,0,0
ABW,0,0,0,0
AFG,0,606.27,0,0.09
AGO,15,31777.78,0,2.55
AIA,0,0,0,0
ALA,0,0,0,0
ALB,41,772.86,0.33,2.7
AND,0,26.09,0,5.62
ARE,2255,10470.98,4.38,14.62
ARG,5701,67646.86,0.53,2.43
ARM,0,3441.43,0,11.58
ASM,0,0,0,0
ATA,0,0,0,0
ATF,0,0,0,0
ATG,50,56.7,0.04,13.5
AUS,380026,303212.74,5.17,3.95
AUT,0,543.52,0,0.65
AZE,63,2954.81,0.08,3.44
BDI,0,1412.63,0,5.26
BEL,30,2256.95,0.85,7.37
BEN,0,25815.45,0,22.4
BES,0,0,0,0
BFA,0,10058.32,0,3.68
BGD,889,830.38,0.79,0.6
BGR,6,4772.15,0.02,4.3
BHR,0,0,0,0
BHS,3833,3809.21,0.62,30.55
BIH,0,810.77,0,1.58
BLM,0,0,0,0
BLR,0,4991.26,0,2.4
BLZ,3995,7895.73,12.13,35.77
BMU,0,0,0,0
BOL,0,186182.06,0,17.18
BRA,957081,1351571.6,25.99,15.96
BRB,0,0,0,0
BRN,0,0,0,0
BTN,0,15543.8,0,40.18
BVT,0,0,0,0
BWA,0,114018.94,0,19.72
CAF,0,35483.69,0,5.73
CAN,8452,310438.86,0.15,3.11
CCK,0,0,0,0
CHE,0,2638.86,0,6.39
CHL,458,45629.68,0.01,6.07
CHN,672,203968.05,0.07,2.18
CIV,1,18491.13,0,5.77
CMR,1138,37921.46,7.49,8.16
COD,66,170735.82,0.5,7.33
COG,1169,36229.72,3.46,10.58
COK,0,0,0,0
COL,297277,173542.56,40.82,15.27
COM,467,175.89,0.28,10.64
CPV,0,101.82,0,2.5
CRI,164411,11861.75,28.26,23.22
CUB,5283,8764.43,1.5,7.99
CUW,0,0,0,0
CXR,0,0,0,0
CYM,0,0,0,0
CYP,0,1163.59,0,12.92
CZE,0,8258.99,0,10.47
DEU,8195,2053.71,14.49,0.57
DJI,0,0,0,0
DMA,0,67,0,8.92
DNK,4962,2071.82,4.76,4.78
DOM,34939,7105.65,9.96,14.75
DZA,0,75668.89,0,3.28
ECU,143203,44048.59,13.29,17.21
EGY,11663,75859.21,4.8,7.72
ERI,0,0,0,0
ESH,0,0,0,0
ESP,648,12868.03,0.06,2.54
EST,1565,3328.85,4.3,7.32
ETH,0,34670.67,0,3.07
FIN,2976,27808.09,3.69,8.24
FJI,110,11.04,0.01,0.06
FLK,0,0,0,0
FRA,95,5033.39,0.03,0.92
FRO,0,0,0,0
FSM,0,0,0,0
GAB,1456,44554.52,0.72,17
GBR,3704,22176.03,0.51,9.05
GEO,156,5816.49,0.68,8.35
GGY,0,0,0,0
GHA,226,7572.23,0.1,3.17
GIB,0,0,0,0
GIN,492,22770.32,0.48,9.31
GLP,0,0,0,0
GMB,82,584.42,0.36,5.46
GNB,2247,6089.54,2.1,18.32
GNQ,90,3621.62,0.03,13.47
GRC,530,1732.17,0.11,1.31
GRD,0,9.03,0,2.55
GRL,451,5730.08,0.02,0.26
GTM,966,11504.53,0.88,10.57
GUF,0,20243.01,0,24.29
GUM,0,0,0,0
GUY,84,17775.05,0.06,8.44
HKG,0,0,0,0
HMD,6089,363.8,1.46,100
HND,2148,18511.4,1.03,16.55
HRV,396,4695.38,0.72,8.3
HTI,0,245.56,0,0.91
HUN,0,761.25,0,0.82
IDN,4687,136822.67,0.08,7.26
IMN,0,0,0,0
IND,691,107720.39,0.03,3.63
IRL,32,81.1,0.01,0.12
IRN,1281,13139,0.59,0.81
IRQ,0,1373.82,0,0.31
ISL,33,662.23,0,0.66
ISR,0,0,0,0
ITA,316,4330.29,0.06,1.44
JAM,1868,1346.59,0.73,12.26
JEY,0,0,0,0
JOR,2,1501.98,2.06,1.69
JPN,0,0,0,0
KAZ,0,26795.24,0,0.99
KEN,197,31042.42,0.16,5.32
KGZ,0,2542.69,0,1.28
KHM,228,33035.8,0.47,18.24
KIR,408367,68.13,11.87,7.29
KNA,0,0,0,0
KOR,3026,5199.06,0.87,5.13
KWT,0,324.69,0,1.86
LAO,0,7449.88,0,3.23
LBN,40,120.56,0.21,1.18
LBR,268,3358.27,0.11,3.51
LBY,0,0,0,0
LCA,16,17.95,0.1,2.97
LIE,0,19.04,0,11.9
LKA,0,629.72,0,0.96
LSO,0,81.56,0,0.27
LTU,202,933.28,2.95,1.44
LUX,0,116.13,0,4.47
LVA,91,688.04,0.32,1.07
MAF,0,0,0,0
MAR,359,3292.49,0.13,0.8
MCO,0,0,0,0
MDA,0,977.56,0,2.89
MDG,3975,49556.61,0.33,8.39
MDV,0,0,0,0
MEX,688316,168385.8,21.6,8.62
MHL,0,0,0,0
MKD,0,2386.38,0,9.38
MLI,0,78761.63,0,6.28
MLT,0,3.07,0,0.97
MMR,1797,7377.71,0.36,1.11
MNE,269,632.91,4.21,4.63
MNG,0,210031.14,0,13.42
MNP,0,0,0,0
MOZ,9240,141659.14,1.63,18.01
MRT,6402,6433.8,3.7,0.62
MSR,0,0,0,0
MTQ,0,0,0,0
